4827820;Plaza 2 de Mayo;11
4827822;Plaza Ramon Castilla;1
4827827;Alfonso Ugarte;15
4827828;Alfonso Ugarte;12
4827829;Alfonso Ugarte;4
4827832;Alfonso Ugarte;1
4827838;Alfonso Ugarte;1
4827843;Plaza Francisco Bolognesi;15
4827844;Alfonso Ugarte;2
4827845;Puente Del Ejercito;1
4827846;Alfonso Ugarte;1
4827847;Puente Del Ejercito;1
4827849;Vicente Morales Duarez;31
4827850;Alfonso Ugarte;1
4827860;Circunvalacion;3
4827863;Avenida Caqueta;3
4827876;Av. Zarumilla;3
4827878;Hector Garcia Ribeyro;1
4827883;El Trebol;6
4827892;Avenida Caqueta;11
4827894;Avenida Tupac Amaru;54
4827895;Franciso Pizarro;21
4827896;Diego Cordova de Salinas;6
4827908;Maracaibo;11
4827909;Av. Panamericana Norte;9
4827926;Via de Evitamiento;6
4827929;Av. Panamericana Norte;2
4827937;Av. José Granda;23
4827949;Via de Evitamiento;6
4827951;Via de Evitamiento;1
4828013;Avenida Argentina;13
4828021;Emancipacion;5
4828025;Oscar Benavides;21
4828026;Oscar Benavides;3
4828352;Avenida Enrique Fermi;6
4828405;Av. Franciso Bolognesi;9
4828407;Av. Angélica Gamarra;22
4828408;Av. Industrial;17
4828411;Av. Industrial;7
4828501;Calle Gerardo Unger;19
4828731;Naranjal;4
4828738;Naranjal;3
4828743;Av. Naranjal;10
4828763;Av. Angélica Gamarra;22
4828802;Av. Bocanegra;20
4831287;Av. Santiago Antunez de Mayolo;24
4831299;Av. Las Palmeras;39
4831340;Av. Los Dominicos;22
4831347;Av. Saenz Peña;4
4831356;Alejandro Bertello Bollati;21
4831386;Av. José Granda;13
4831397;Avenida Peru;16
4831400;Av. Perú;19
4832777;Via de Evitamiento;1
4832854;Av. 9 de Octubre;10
4832866;Abancay;1
4832867;Abancay;15
4832868;Abancay;1
4832881;Metropolitana;14
4832882;Metropolitana;10
4832890;Av. Universitaria;56
4832968;Av. Santiago Antunez de Mayolo;20
4832972;Av. Tomas Valle;26
4832976;Jose Granda;8
4832980;Av. Canta Callao;33
4832984;Av. Universitaria;114
4832991;Avenida Universitaria;28
11979291;Aurelio Miro Quesada;14
11979547;Orrantia;5
11979621;Santa Cruz;10
11979631;Republica de Panama;3
11979694;Av. Aramburú;4
11980143;Placencia;5
11980154;La Niña;1
11980165;Cavero;3
11980238;Santa Maria;1
11980258;Raymundo Morales de la Torre;6
11980556;Lizardo Alzamora Este;10
11980676;José Choquehuanca;20
11980702;Antero Aspillaga;4
11980717;Enrique Paillardelle;4
11980743;La Habana;8
11981788;José Larco;6
11981820;Tunel Santa Rosa;1
11981861;9 de Diciembre;5
11981891;9 de Diciembre;5
11985087;Av. Zarumilla;10
11985865;Paseo de la República;18
11985886;Paseo de la República;22
11986252;Arequipa;27
11986321;Arequipa;33
11986518;Ovalo de Miraflores;7
11986778;Diagonal;6
11987056;Malecón de la Marina;13
11987159;Alfredo Benavides;8
11988366;Pezet;11
11988370;Cervantes;9
11988505;Pancho Fierro;1
11988547;Antero Aspillaga;5
11988566;Florida;2
11988580;Tacna;8
11988611;Chacarilla;6
11989209;Santa Cruz;7
11989273;Ovalo Guiterrez;7
11989414;José Pardo;10
11989455;Plaza Centro América;9
12561291;Av Ricardo Palma;5
12561298;Av Ricardo Palma;1
12561310;Av Ricardo Palma;3
12561317;Av Ricardo Palma;2
12561318;Av Ricardo Palma;4
12561540;Manco Capac;8
12561875;Dalias;4
14073402;Vasco Nuñez de Balboa;5
14073892;Ca. Porta;11
14073918;Av. 28 de Julio;4
14073926;Ocharan;6
14073934;Ca. San Martin;10
14073942;Cristobal Colon;9
14074051;Los Pinos;4
14074056;Felix Olcay;5
14074399;José Gonzales;12
14074486;Juan Fanning;10
14074512;Comandante Aristides Aljovin;6
14074529;Diego Ferre;3
14074592;Buenos Aires;2
14074758;Av Ricardo Palma;6
14074796;Ernesto DIez Canseco;3
14074831;Ernesto DIez Canseco;3
14076594;Guardia Chalaca;1
14076698;Plaza Garibaldi;8
14076940;Cuzco;9
14076942;Monteagudo;6
14076943;Nicholas de Pierola;10
14077002;Montezuma;10
14077076;Zepita;12
14077168;Castilla;2
14077276;Ayacucho;12
14077338;Miroquesada;15
14077377;Manuel Raigada;11
14096352;Conquistadores;20
14096487;Los Libertadores;8
14103088;Llano Zapata;5
14103104;Mariscal Sucre;7
